entry_time,exit_time,direction,entry_price,exit_price,contracts,gross_pnl,fees,net_pnl,bars_held,exit_reason
2012-11-26 14:30:00,2012-11-26 16:25:00,1,6032.75,6025.25,3,-450.0,8.399999999999999,-458.4,23,stop_loss
2012-11-26 17:10:00,2012-11-27 00:30:00,1,6036.0,6053.25,3,1035.0,8.399999999999999,1026.6,76,take_profit
2012-12-05 14:40:00,2012-12-05 15:30:00,-1,6060.75,6038.5,2,890.0,5.6,884.4,10,take_profit
2012-12-05 15:35:00,2012-12-06 00:00:00,-1,6038.25,6040.0,1,-35.0,2.8,-37.8,89,hawkes_cooldown
2012-12-06 16:55:00,2012-12-06 19:30:00,1,6060.25,6055.5,2,-190.0,5.6,-195.6,31,spread_decay
2012-12-07 15:30:00,2012-12-10 01:10:00,-1,6048.25,6041.5,1,135.0,2.8,132.2,104,hawkes_cooldown
2012-12-11 14:35:00,2012-12-11 15:30:00,1,6071.0,6085.75,3,885.0,8.399999999999999,876.6,11,take_profit
2012-12-11 16:10:00,2012-12-11 20:10:00,1,6089.25,6077.5,2,-470.0,5.6,-475.6,48,stop_loss
2012-12-14 14:35:00,2012-12-14 16:45:00,-1,6030.25,6036.25,2,-240.0,5.6,-245.6,26,spread_decay
2012-12-17 14:40:00,2012-12-17 15:30:00,1,6042.25,6033.75,2,-340.0,5.6,-345.6,10,spread_decay
2012-12-21 14:35:00,2012-12-21 15:20:00,-1,6048.25,6067.25,2,-760.0,5.6,-765.6,9,stop_loss
2013-01-02 13:55:00,2013-01-02 14:55:00,1,6118.75,6139.25,3,1230.0,8.399999999999999,1221.6,12,take_profit
2013-01-04 14:45:00,2013-01-07 04:15:00,-1,6129.75,6117.5,2,490.0,5.6,484.4,150,max_hold
2013-01-09 14:45:00,2013-01-09 15:20:00,-1,6119.25,6132.25,2,-520.0,5.6,-525.6,7,stop_loss
2013-01-10 13:45:00,2013-01-10 15:05:00,1,6145.25,6141.25,3,-240.0,8.399999999999999,-248.4,16,spread_decay
2013-01-15 14:35:00,2013-01-16 01:00:00,-1,6119.25,6125.5,2,-250.0,5.6,-255.6,113,spread_decay
2013-01-18 19:30:00,2013-01-18 20:50:00,-1,6135.5,6140.75,5,-525.0,14.0,-539.0,16,stop_loss
2013-01-22 14:55:00,2013-01-22 21:05:00,-1,6138.25,6151.5,2,-530.0,5.6,-535.6,74,stop_loss
2013-01-25 14:50:00,2013-01-25 16:40:00,1,6138.5,6131.5,2,-280.0,5.6,-285.6,22,spread_decay
2013-01-28 14:50:00,2013-01-28 18:25:00,1,6144.5,6139.0,3,-330.0,8.399999999999999,-338.4,43,spread_decay
2013-01-29 14:35:00,2013-01-29 16:30:00,-1,6135.5,6144.25,3,-525.0,8.399999999999999,-533.4,23,stop_loss
2013-01-30 14:55:00,2013-01-30 15:25:00,1,6154.0,6141.0,2,-520.0,5.6,-525.6,6,stop_loss
2013-02-04 17:40:00,2013-02-05 07:10:00,-1,6126.75,6118.0,2,350.0,5.6,344.4,150,max_hold
2013-02-06 17:40:00,2013-02-06 19:30:00,-1,6154.25,6139.5,3,885.0,8.399999999999999,876.6,22,take_profit
2013-02-08 14:40:00,2013-02-08 21:00:00,1,6172.0,6177.0,2,200.0,5.6,194.4,76,spread_decay
2013-02-12 16:20:00,2013-02-13 03:45:00,-1,6168.5,6170.0,2,-60.0,5.6,-65.6,124,hawkes_cooldown
2013-02-13 16:20:00,2013-02-13 21:30:00,1,6175.0,6173.75,2,-50.0,5.6,-55.6,59,spread_decay
2013-02-20 17:40:00,2013-02-20 19:55:00,-1,6171.0,6153.25,3,1065.0,8.399999999999999,1056.6,27,take_profit
2013-02-21 17:15:00,2013-02-21 23:55:00,-1,6116.5,6122.25,2,-230.0,5.6,-235.6,68,spread_decay
2013-02-25 14:45:00,2013-02-25 15:55:00,1,6161.25,6149.25,2,-480.0,5.6,-485.6,14,stop_loss
2013-02-26 14:50:00,2013-02-26 15:05:00,-1,6108.5,6122.0,2,-540.0,5.6,-545.6,3,stop_loss
